Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,0.01,symmetric,-2.707534125343235
75% Corpus,9,0.31,0.01,-1.7184931379123245
75% Corpus,9,0.31,0.31,-5.633598436358067
75% Corpus,9,0.31,0.61,-9.989111215627029
75% Corpus,9,0.31,0.9099999999999999,-9.392560837061886
75% Corpus,9,0.31,symmetric,-2.826745966816776
75% Corpus,9,0.61,0.01,-1.647014315643463
75% Corpus,9,0.61,0.31,-5.93711089649557
75% Corpus,9,0.61,0.61,-7.611677174753191
75% Corpus,9,0.61,0.9099999999999999,-10.274195158439646
75% Corpus,9,0.61,symmetric,-2.896505488137402
75% Corpus,9,0.9099999999999999,0.01,-1.5673902562685487
75% Corpus,9,0.9099999999999999,0.31,-4.91955668588858
75% Corpus,9,0.9099999999999999,0.61,-5.244583108934473
75% Corpus,9,0.9099999999999999,0.9099999999999999,-5.90857847412424
75% Corpus,9,0.9099999999999999,symmetric,-2.408818860542134
75% Corpus,9,symmetric,0.01,-1.7415124591188667
75% Corpus,9,symmetric,0.31,-5.676954621735983
75% Corpus,9,symmetric,0.61,-9.298714366389778
75% Corpus,9,symmetric,0.9099999999999999,-8.918629162233316
75% Corpus,9,symmetric,symmetric,-2.8360826453755412
75% Corpus,9,asymmetric,0.01,-2.1153404378313314
75% Corpus,9,asymmetric,0.31,-8.855342778378674
75% Corpus,9,asymmetric,0.61,-5.487455477000585
75% Corpus,9,asymmetric,0.9099999999999999,-6.152194433035789
75% Corpus,9,asymmetric,symmetric,-4.083913902439552
75% Corpus,10,0.01,0.01,-2.0327408464102596
75% Corpus,10,0.01,0.31,-6.967720437808433
75% Corpus,10,0.01,0.61,-6.482342382382791
75% Corpus,10,0.01,0.9099999999999999,-4.32879909846706
75% Corpus,10,0.01,symmetric,-3.3477694504822217
75% Corpus,10,0.31,0.01,-1.7670170973956238
75% Corpus,10,0.31,0.31,-6.2808506475405625
75% Corpus,10,0.31,0.61,-8.137953405671059
75% Corpus,10,0.31,0.9099999999999999,-8.253817364658394
75% Corpus,10,0.31,symmetric,-3.353702500614139
75% Corpus,10,0.61,0.01,-1.5814551539355637
75% Corpus,10,0.61,0.31,-5.380418287073811
75% Corpus,10,0.61,0.61,-9.90124407686994
75% Corpus,10,0.61,0.9099999999999999,-11.109877698017504
75% Corpus,10,0.61,symmetric,-3.7685987237162735
75% Corpus,10,0.9099999999999999,0.01,-1.6033717734325488
75% Corpus,10,0.9099999999999999,0.31,-4.723760206321989
75% Corpus,10,0.9099999999999999,0.61,-5.937360925944515
75% Corpus,10,0.9099999999999999,0.9099999999999999,-8.252462226163841
